,CoC,Year,Organization Name,Project Name,Project Type,Bed Type,Geo Code,Inventory Type,Total Year Round Beds,Total Seasonal Beds,PIT Count,Total Beds,State,County
1070,CA-521,2012,Yolo Wayfarer Center,Family Transitional Housing,TH,F,64134,C,49,,43.0,49,CA,Woodland
1071,CA-521,2012,Yolo Wayfarer Center,HCHV/EH,ES,F,64134,N,5,,5.0,5,CA,Woodland
1072,CA-521,2012,Yolo Wayfarer Center,Permanent Supportive Housing - CH,PSH,,64134,N,3,,3.0,3,CA,Woodland
1073,CA-521,2012,Yolo Wayfarer Center,Permanent Supportive Housing - FTS Graduates,PSH,,64134,C,7,,7.0,7,CA,Woodland
1074,CA-521,2012,Yolo Wayfarer Center,River Rose,PSH,,69113,N,4,,1.0,4,CA,Yolo County
1075,CA-521,2012,Yolo Wayfarer Center,Sober Living Homes,TH,F,64134,C,3,,3.0,3,CA,Woodland
1076,CA-521,2012,Yolo Wayfarer Center,Walter's House,TH,F,64134,C,32,,21.0,32,CA,Woodland
1077,CA-521,2012,Yolo Wayfarer Center,Walter's House SHP,TH,F,64134,C,12,,12.0,12,CA,Woodland
1078,CA-528 ,2012,Rural Human Services,Harrington House,ES,F,69015,C,28,,16.0,28,CA,Del Norte County
1079,CA-525,2012,Community Resource Center,Emergency Shelter,ES,O,69017,C,0,48.0,48.0,48,CA,El Dorado County
1080,CA-525,2012,Emerging Hope,Hope House,TH,F,69017,C,12,,12.0,12,CA,El Dorado County
1081,CA-525,2012,H.E.L.P.,Mentor House,TH,F,69017,C,8,,4.0,8,CA,El Dorado County
1082,CA-525,2012,H.E.L.P.,Motel Voucher,ES,V,69017,C,3,,3.0,3,CA,El Dorado County
1083,CA-525,2012,Mental Health,New Directions,TH,F,69017,C,15,,13.0,15,CA,El Dorado County
1084,CA-525,2012,Mother Theresa Maternity,Maternity Home,TH,F,69017,C,6,,2.0,6,CA,El Dorado County
1085,CA-525,2012,New Morning,Youth Shelter,ES,F,69017,C,12,,6.0,12,CA,El Dorado County
1086,CA-525,2012,Progress House,Transitional Living,TH,F,69017,C,36,,12.0,36,CA,El Dorado County
1087,CA-525,2012,Remi Vista Foster Agency,THP Plus - Former Foster Youth,TH,F,69017,C,9,,9.0,9,CA,El Dorado County
1088,CA-525,2012,South Lake Tahoe Women's Center,Motel Voucher Program,ES,V,69017,C,1,,1.0,1,CA,El Dorado County
1089,CA-525,2012,South Lake Tahoe Women's Center,Women's Center,ES,F,69017,C,10,,10.0,10,CA,El Dorado County
1090,CA-525,2012,South Lake Tahoe Women's Center,Women's Transitional,TH,F,69017,C,3,,3.0,3,CA,El Dorado County
1091,CA-525,2012,Tahoe Youth and Family Services,Youth Shelter,ES,F,69017,C,4,,1.0,4,CA,El Dorado County
1092,CA-525,2012,The Center for Violence Free Relationships,Women's Shelter,ES,F,69017,C,13,,7.0,13,CA,El Dorado County
1093,CA-525,2012,Tree House Ministries,Tree House,TH,F,69017,C,18,,18.0,18,CA,El Dorado County
1094,CA-525,2012,United Outreach,Hotel Voucher Program,ES,V,69017,C,20,,16.0,20,CA,El Dorado County
1095,CA-525,2012,United Outreach,Perks Court,TH,F,69017,C,12,,10.0,12,CA,El Dorado County
1096,CA-525,2012,Vitality Lake Tahoe,Mens Transitional,TH,F,69017,C,8,,5.0,8,CA,El Dorado County
1097,CA-514,2012,Angels of Grace,HPRP City,HPRP,,61410,C,6,,6.0,6,CA,Fresno
1098,CA-514,2012,Angels of Grace,HPRP County,HPRP,,69019,C,7,,7.0,7,CA,Fresno County
1099,CA-514,2012,Angels of Grace,Transitional Safe Haven,TH,F,61410,C,4,,0.0,4,CA,Fresno
1100,CA-514,2012,AspiraNet,HPRP City,HPRP,,61410,C,4,,4.0,4,CA,Fresno
1101,CA-514,2012,AspiraNet,HPRP County,HPRP,,69019,C,2,,2.0,2,CA,Fresno County
1102,CA-514,2012,Community Action Partnership of Madera,Martha Diaz Shelter,ES,F,62166,C,16,0.0,11.0,16,CA,Madera
1103,CA-514,2012,Community Action Partnership of Madera,Shunammite Place,PSH,,62166,C,15,,15.0,15,CA,Madera
1104,CA-514,2012,County of Fresno ETA,VOUCHERS,ES,O,61410,C,168,0.0,19.0,168,CA,Fresno
1105,CA-514,2012,County of Madera,Cal Works ETA,ES,O,62166,C,18,,0.0,18,CA,Madera
1106,CA-514,2012,Fresno County EOC,HPRP City,HPRP,,61410,C,9,,9.0,9,CA,Fresno
1107,CA-514,2012,Fresno County EOC,Sanctuary Youth Shelter,ES,F,61410,C,20,0.0,5.0,20,CA,Fresno
1108,CA-514,2012,Fresno County EOC,TLC 1,TH,F,61410,C,24,,21.0,24,CA,Fresno
1109,CA-514,2012,Fresno County EOC,TLC 2,TH,F,61410,C,20,,12.0,20,CA,Fresno
1110,CA-514,2012,Fresno County EOC,TLC 3,TH,F,61410,C,40,,32.0,40,CA,Fresno
1111,CA-514,2012,Housing Authority City of Fresno,Blackstone Project,PSH,,61410,U,29,,,29,CA,Fresno
1112,CA-514,2012,Housing Authority City of Fresno,Fresno First Step Home,TH,F,61410,N,40,,28.0,40,CA,Fresno
1113,CA-514,2012,Housing Authority City of Fresno,HUD- VASH I,PSH,,61410,C,56,,52.0,56,CA,Fresno
1114,CA-514,2012,Housing Authority City of Fresno,HUD- VASH II,PSH,,61410,C,50,,43.0,50,CA,Fresno
1115,CA-514,2012,Housing Authority City of Fresno,HUD- VASH III,PSH,,61410,N,25,,2.0,25,CA,Fresno
1116,CA-514,2012,Housing Authority City of Fresno,S+C I,PSH,,61410,C,32,,17.0,32,CA,Fresno
1117,CA-514,2012,Housing Authority City of Fresno,S+C II,PSH,,61410,C,131,,41.0,131,CA,Fresno
1118,CA-514,2012,Housing Authority City of Fresno,S+C III,PSH,,61410,C,55,,19.0,55,CA,Fresno
1119,CA-514,2012,Housing Authority City of Fresno,S+C IV,PSH,,61410,N,72,,31.0,72,CA,Fresno
1120,CA-514,2012,Housing Authority City of Fresno,Santa Clara,PSH,,61410,U,69,,,69,CA,Fresno
1121,CA-514,2012,Housing Authority City of Fresno,Trinity Project,PSH,,61410,N,20,,20.0,20,CA,Fresno
1122,CA-514,2012,Marjaree Mason Center,Clovis Shelter,TH,F,60756,U,18,,,18,CA,Clovis City
1123,CA-514,2012,Marjaree Mason Center,Domestic Violence Shelter,ES,F,61410,C,94,0.0,64.0,94,CA,Fresno
1124,CA-514,2012,Marjaree Mason Center,Downtown Transition,TH,F,61410,N,16,,12.0,16,CA,Fresno
1125,CA-514,2012,Marjaree Mason Center,Homeward Bound,TH,F,61410,C,23,,12.0,23,CA,Fresno
1126,CA-514,2012,Marjaree Mason Center,HPRP City,HPRP,,61410,C,22,,22.0,22,CA,Fresno
1127,CA-514,2012,Marjaree Mason Center,Next Step,TH,F,61410,C,8,,6.0,8,CA,Fresno
1128,CA-514,2012,Marjaree Mason Center,Olson House,TH,F,61410,C,18,,9.0,18,CA,Fresno
1129,CA-514,2012,Mental Health Systems Inc.,MHS Housing Plus Program,PSH,,61410,N,24,,23.0,24,CA,Fresno
1130,CA-514,2012,Poverello House,Naomi's House,SH,,61410,C,24,,23.0,24,CA,Fresno
1131,CA-514,2012,Resources for Independence (RICV),HPRP County,HPRP,,61410,C,15,,15.0,15,CA,Fresno
1132,CA-514,2012,Spirit of Woman,SOW SHP,TH,F,61410,C,18,,21.0,18,CA,Fresno
1133,CA-514,2012,The Housing Authority of the City of Madera,VASH,PSH,,62166,C,64,,64.0,64,CA,Madera
1134,CA-514,2012,Turning Point (TPOCC),Family Villa,PSH,,61410,N,104,,92.0,104,CA,Fresno
1135,CA-514,2012,Turning Point (TPOCC),New Outlook,TH,F,61410,C,202,,163.0,202,CA,Fresno
1136,CA-514,2012,Turning Point (TPOCC),STASIS,PSH,,61410,C,28,,20.0,28,CA,Fresno
1137,CA-514,2012,Turning Point (TPOCC),TLC,TH,F,61410,C,30,,26.0,30,CA,Fresno
1138,CA-514,2012,VA Central CA Health Care System,HCHV/RT- Redux House,ES,F,61410,C,36,,29.0,36,CA,Fresno
1139,CA-514,2012,VA Central CA Health Care System,HCHV/RT-A. Lujan Home,ES,F,61410,C,10,,8.0,10,CA,Fresno
1140,CA-514,2012,VA Central CA Health Care System,HCHV/RT-Thompson Veterans Home,ES,F,61410,C,6,,5.0,6,CA,Fresno
