Geographic,State,NAME,FY 2021 PPRN
059015,AR,Carroll County,"$126,696"
059017,AR,Chicot County,"$36,708"
059019,AR,Clark County,"$77,490"
059021,AR,Clay County,"$57,565"
059023,AR,Cleburne County,"$55,898"
059025,AR,Cleveland County,"$24,374"
059027,AR,Columbia County,"$83,187"
059029,AR,Conway County,"$64,386"
059031,AR,Craighead County,"$69,124"
059033,AR,Crawford County,"$163,491"
059035,AR,Crittenden County,"$57,820"
059037,AR,Cross County,"$47,812"
059039,AR,Dallas County,"$38,091"
059041,AR,Desha County,"$46,830"
059043,AR,Drew County,"$57,906"
059045,AR,Faulkner County,"$133,109"
059047,AR,Franklin County,"$54,343"
059049,AR,Fulton County,"$46,223"
059051,AR,Garland County,"$134,086"
059053,AR,Grant County,"$39,571"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
059055,AR,Greene County,"$118,508"
059057,AR,Hempstead County,"$99,431"
059059,AR,Hot Spring County,"$77,462"
059061,AR,Howard County,"$49,076"
059063,AR,Independence County,"$103,546"
059065,AR,Izard County,"$42,758"
059067,AR,Jackson County,"$48,114"
059069,AR,Jefferson County,"$55,946"
059071,AR,Johnson County,"$99,407"
059073,AR,Lafayette County,"$26,524"
059075,AR,Lawrence County,"$48,671"
059077,AR,Lee County,"$33,028"
059079,AR,Lincoln County,"$32,117"
059081,AR,Little River County,"$37,267"
059083,AR,Logan County,"$76,081"
059085,AR,Lonoke County,"$154,215"
059087,AR,Madison County,"$54,551"
059089,AR,Marion County,"$54,621"
059091,AR,Miller County,"$30,821"
059093,AR,Mississippi County,"$146,886"
059095,AR,Monroe County,"$29,700"
059097,AR,Montgomery County,"$36,280"
059099,AR,Nevada County,"$41,560"
059101,AR,Newton County,"$40,395"
059103,AR,Ouachita County,"$94,680"
059105,AR,Perry County,"$27,815"
059107,AR,Phillips County,"$82,630"
059109,AR,Pike County,"$36,202"
059111,AR,Poinsett County,"$88,334"
059113,AR,Polk County,"$79,880"
059115,AR,Pope County,"$167,173"
059117,AR,Prairie County,"$38,657"
059119,AR,Pulaski County,"$175,969"
059121,AR,Randolph County,"$52,198"
059123,AR,St. Francis County,"$79,177"
059125,AR,Saline County,"$210,212"
059127,AR,Scott County,"$33,074"
059129,AR,Searcy County,"$31,528"
059131,AR,Sebastian County,"$97,397"
059133,AR,Sevier County,"$67,755"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
059135,AR,Sharp County,"$59,441"
059137,AR,Stone County,"$33,305"
059139,AR,Union County,"$139,199"
059141,AR,Van Buren County,"$49,843"
059143,AR,Washington County,"$189,620"
059145,AR,White County,"$183,209"
059147,AR,Woodruff County,"$21,913"
059149,AR,Yell County,"$64,737"
060012,CA,Alameda,"$368,050"
060030,CA,Alhambra,"$321,420"
060032,CA,Aliso Viejo,"$69,690"
060078,CA,Anaheim,"$3,717,699"
060102,CA,Antioch,"$274,378"
060108,CA,Apple Valley,"$189,134"
060228,CA,Bakersfield,"$3,329,694"
060234,CA,Baldwin Park,"$304,303"
060288,CA,Bellflower,"$289,961"
060324,CA,Berkeley,"$2,360,328"
060450,CA,Buena Park,"$277,420"
060456,CA,Burbank,"$331,223"
060516,CA,Camarillo,"$103,633"
060564,CA,Carlsbad,"$170,075"
060594,CA,Carson,"$254,784"
060624,CA,Cathedral City,"$194,380"
060654,CA,Cerritos,"$83,621"
060684,CA,Chico,"$276,080"
060708,CA,Chino,"$178,051"
060709,CA,Chino Hills,"$132,142"
060720,CA,Chula Vista,"$2,103,710"
060726,CA,Citrus Heights,"$202,597"
060756,CA,Clovis City,"$237,718"
060804,CA,Compton,"$1,303,058"
060810,CA,Concord,"$335,916"
060828,CA,Corona,"$395,942"
060846,CA,Costa Mesa,"$360,260"
060906,CA,Cupertino City,"$123,390"
060930,CA,Daly City,"$340,663"
060942,CA,Davis,"$235,804"
060960,CA,Delano City,"$180,534"
061032,CA,Downey,"$346,931"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
061116,CA,El Cajon,"$432,455"
061122,CA,El Centro,"$179,616"
061146,CA,Elk Grove,"$292,793"
061152,CA,El Monte,"$1,508,403"
061212,CA,Encinitas,"$112,886"
061230,CA,Escondido,"$1,567,917"
061266,CA,Fairfield,"$273,207"
061332,CA,Fontana,"$1,809,810"
061380,CA,Fountain Valley,"$114,108"
061404,CA,Fremont,"$536,131"
061410,CA,Fresno,"$6,131,053"
061416,CA,Fullerton,"$441,524"
061428,CA,Gardena,"$199,599"
061440,CA,Garden Grove,"$1,750,037"
061452,CA,Gilroy City,"$148,426"
061464,CA,Glendale,"$1,721,813"
061470,CA,Glendora City,"$96,552"
061476,CA,Goleta,"$71,483"
061566,CA,Hanford,"$175,269"
061596,CA,Hawthorne,"$415,666"
061602,CA,Hayward,"$486,109"
061614,CA,Hemet,"$292,304"
061638,CA,Hesperia,"$323,910"
061692,CA,Huntington Beach,"$392,134"
061698,CA,Huntington Park,"$1,100,012"
061728,CA,Indio City,"$276,054"
061740,CA,Inglewood,"$1,212,553"
061750,CA,Irvine,"$1,839,082"
061783,CA,Jurupa Valley,"$378,725"
061854,CA,Laguna Niguel,"$104,780"
061860,CA,La Habra,"$215,614"
061869,CA,Lake Forest,"$162,863"
061870,CA,Lake Elsinore,"$189,108"
061890,CA,Lakewood,"$156,213"
061896,CA,La Mesa,"$141,385"
061914,CA,Lancaster,"$471,057"
062034,CA,Livermore,"$138,396"
062046,CA,Lodi,"$205,153"
062064,CA,Lompoc,"$167,717"
062088,CA,Long Beach,"$5,302,709"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
062118,CA,Los Angeles,"$46,836,269"
062148,CA,Lynwood,"$359,355"
062166,CA,Madera,"$288,969"
062240,CA,Menifee,"$165,531"
062250,CA,Merced,"$356,266"
062274,CA,Milpitas City,"$214,387"
062286,CA,Mission Viejo,"$121,080"
062292,CA,Modesto,"$1,638,612"
062328,CA,Montebello,"$210,880"
062334,CA,Monterey,"$82,350"
062340,CA,Monterey Park,"$210,533"
062367,CA,Moreno Valley,"$1,754,697"
062382,CA,Mountain View,"$187,874"
062406,CA,Napa City,"$187,140"
062412,CA,National City,"$250,004"
062454,CA,Newport Beach,"$118,168"
062490,CA,Norwalk,"$402,778"
062508,CA,Oakland,"$6,642,019"
062532,CA,Oceanside,"$1,155,375"
062556,CA,Ontario,"$1,607,268"
062568,CA,Orange,"$380,355"
062622,CA,Oxnard,"$2,219,108"
062658,CA,Palmdale,"$503,908"
062670,CA,Palm Desert,"$129,924"
062676,CA,Palm Springs,"$142,325"
062682,CA,Palo Alto,"$158,891"
062700,CA,Paradise,"$53,798"
062706,CA,Paramount City,"$251,572"
062724,CA,Pasadena,"$1,806,085"
062754,CA,Perris City,"$289,318"
062760,CA,Petaluma,"$111,282"
062766,CA,Pico Rivera,"$197,509"
062790,CA,Pittsburg,"$193,056"
062802,CA,Placentia,"$123,935"
062826,CA,Pleasanton City,"$108,464"
062850,CA,Pomona,"$1,790,450"
062862,CA,Porterville,"$263,516"
062928,CA,Rancho Cordova City,"$201,169"
062930,CA,Rancho Cucamonga,"$325,863"
062949,CA,Rancho Santa Margarita,"$65,790"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
062958,CA,Redding,"$241,078"
062970,CA,Redondo Beach,"$90,727"
062976,CA,Redwood City,"$241,395"
062988,CA,Rialto,"$384,864"
063048,CA,Riverside,"$2,741,444"
063054,CA,Rocklin City,"$88,462"
063102,CA,Rosemead,"$239,047"
063108,CA,Roseville,"$224,894"
063144,CA,Sacramento,"$4,205,343"
063162,CA,Salinas,"$1,744,865"
063180,CA,San Bernardino,"$2,935,794"
063198,CA,San Clemente,"$112,867"
063210,CA,San Diego,"$10,585,315"
063228,CA,San Francisco,"$16,078,464"
063258,CA,San Jose,"$7,712,537"
063276,CA,San Leandro,"$243,514"
063294,CA,San Marcos City,"$229,782"
063312,CA,San Mateo,"$237,030"
063342,CA,Santa Ana,"$4,943,983"
063348,CA,Santa Barbara,"$285,971"
063354,CA,Santa Clara,"$329,585"
063356,CA,Santa Clarita,"$461,067"
063360,CA,Santa Cruz,"$190,440"
063372,CA,Santa Maria,"$516,299"
063384,CA,Santa Monica,"$372,547"
063396,CA,Santa Rosa,"$463,141"
063408,CA,Santee,"$87,338"
063444,CA,Seaside,"$107,688"
063480,CA,Simi Valley,"$196,990"
063528,CA,South Gate,"$1,281,915"
063564,CA,South San Francisco,"$156,437"
063624,CA,Stockton,"$2,955,218"
063660,CA,Sunnyvale,"$375,517"
063712,CA,Temecula,"$177,341"
063732,CA,Thousand Oaks,"$183,194"
063744,CA,Torrance,"$318,274"
063768,CA,Tulare,"$226,078"
063798,CA,Turlock,"$208,416"
063804,CA,Tustin,"$268,777"
063846,CA,Union City,"$173,798"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
063852,CA,Upland,"$202,439"
063858,CA,Vacaville,"$160,034"
063876,CA,Vallejo,"$333,098"
063888,CA,San Buenaventura,"$244,436"
063900,CA,Victorville,"$436,697"
063918,CA,Visalia,"$413,776"
063924,CA,Vista,"$339,170"
063942,CA,Walnut Creek,"$108,497"
063966,CA,Watsonville,"$239,210"
064002,CA,West Covina,"$255,277"
064014,CA,Westminster,"$316,689"
064050,CA,West Sacramento,"$148,114"
064074,CA,Whittier,"$238,638"
064134,CA,Woodland,"$162,734"
064158,CA,Yorba Linda,"$80,732"
064176,CA,Yuba City,"$211,360"
069001,CA,Alameda County,"$1,870,814"
069003,CA,Alpine County,"$4,710"
069005,CA,Amador County,"$137,218"
069007,CA,Butte County,"$411,718"
069009,CA,Calaveras County,"$134,917"
069011,CA,Colusa County,"$93,822"
069013,CA,Contra Costa County,"$3,998,578"
069015,CA,Del Norte County,"$98,223"
069017,CA,El Dorado County,"$419,730"
069019,CA,Fresno County,"$2,614,574"
069021,CA,Glenn County,"$113,339"
069023,CA,Humboldt County,"$841,991"
069025,CA,Imperial County,"$590,625"
069027,CA,Inyo County,"$67,694"
069029,CA,Kern County,"$4,287,010"
069031,CA,Kings County,"$377,951"
069033,CA,Lake County,"$242,389"
069035,CA,Lassen County,"$125,658"
069037,CA,Los Angeles County,"$18,935,300"
069039,CA,Madera County,"$326,803"
069041,CA,Marin County,"$505,412"
069043,CA,Mariposa County,"$70,647"
069045,CA,Mendocino County,"$388,724"
069047,CA,Merced County,"$785,747"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
069049,CA,Modoc County,"$75,064"
069051,CA,Mono County,"$42,456"
069053,CA,Monterey County,"$439,936"
069055,CA,Napa County,"$204,051"
069057,CA,Nevada County,"$315,859"
069059,CA,Orange County,"$2,265,452"
069061,CA,Placer County,"$432,435"
069063,CA,Plumas County,"$94,536"
069065,CA,Riverside County,"$6,433,035"
069067,CA,Sacramento County,"$5,085,754"
069069,CA,San Benito County,"$179,772"
069071,CA,San Bernardino County,"$6,400,924"
069073,CA,San Diego County,"$3,677,232"
069077,CA,San Joaquin County,"$2,380,530"
069079,CA,San Luis Obispo County,"$1,611,548"
069081,CA,San Mateo County,"$2,301,472"
069083,CA,Santa Barbara County,"$1,085,850"
069085,CA,Santa Clara County,"$1,328,134"
069087,CA,Santa Cruz County,"$563,782"
069089,CA,Shasta County,"$286,869"
069091,CA,Sierra County,"$36,011"
069093,CA,Siskiyou County,"$281,335"
069095,CA,Solano County,"$284,279"
069097,CA,Sonoma County,"$1,625,264"
069099,CA,Stanislaus County,"$2,149,474"
069101,CA,Sutter County,"$97,160"
069103,CA,Tehama County,"$257,808"
069105,CA,Trinity County,"$56,184"
069107,CA,Tulare County,"$1,215,670"
069109,CA,Tuolumne County,"$182,999"
069111,CA,Ventura County,"$1,355,573"
069113,CA,Yolo County,"$118,134"
069115,CA,Yuba County,"$293,846"
080054,CO,Arvada,"$148,986"
080072,CO,Aurora,"$2,533,688"
080144,CO,Boulder,"$261,339"
080180,CO,Broomfield City/County,"$88,458"
080238,CO,Centennial,"$114,453"
080288,CO,Colorado Springs,"$2,654,572"
080300,CO,Commerce City,"$132,856"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
080390,CO,Denver,"$5,879,372"
080552,CO,Fort Collins,"$349,778"
080672,CO,Grand Junction,"$148,691"
080690,CO,Greeley,"$265,768"
080906,CO,Lakewood,"$287,297"
080978,CO,Longmont,"$193,631"
080990,CO,Loveland,"$121,202"
081278,CO,Pueblo,"$467,148"
081524,CO,Thornton,"$249,198"
081614,CO,Westminster,"$200,280"
089001,CO,Adams County,"$1,216,401"
089003,CO,Alamosa County,"$64,714"
089005,CO,Arapahoe County,"$354,212"
089007,CO,Archuleta County,"$32,048"
089009,CO,Baca County,"$15,159"
089011,CO,Bent County,"$22,901"
089013,CO,Boulder County,"$162,970"
089015,CO,Chaffee County,"$53,363"
089017,CO,Cheyenne County,"$7,317"
089019,CO,Clear Creek County,"$33,545"
089021,CO,Conejos County,"$34,965"
089023,CO,Costilla County,"$18,821"
089025,CO,Crowley County,"$18,597"
089027,CO,Custer County,"$15,538"
089029,CO,Delta County,"$85,137"
089033,CO,Dolores County,"$4,536"
089035,CO,Douglas County,"$329,630"
089037,CO,Eagle County,"$99,973"
089039,CO,Elbert County,"$29,137"
089041,CO,El Paso County,"$345,719"
089043,CO,Fremont County,"$117,942"
089045,CO,Garfield County,"$150,241"
089047,CO,Gilpin County,"$17,860"
089049,CO,Grand County,"$37,829"
089051,CO,Gunnison County,"$49,403"
089053,CO,Hinsdale County,"$4,092"
089055,CO,Huerfano County,"$39,526"
089057,CO,Jackson County,"$9,101"
089059,CO,Jefferson County,"$348,461"
089061,CO,Kiowa County,"$4,772"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
089063,CO,Kit Carson County,"$19,498"
089065,CO,Lake County,"$42,777"
089067,CO,La Plata County,"$101,261"
089069,CO,Larimer County,"$151,297"
089071,CO,Las Animas County,"$73,439"
089073,CO,Lincoln County,"$15,443"
089075,CO,Logan County,"$73,873"
089077,CO,Mesa County,"$203,904"
089079,CO,Mineral County,"$5,410"
089081,CO,Moffat County,"$23,965"
089083,CO,Montezuma County,"$67,821"
089085,CO,Montrose County,"$118,747"
089087,CO,Morgan County,"$77,053"
089089,CO,Otero County,"$92,284"
089091,CO,Ouray County,"$12,533"
089093,CO,Park County,"$30,460"
089095,CO,Phillips County,"$17,987"
089097,CO,Pitkin County,"$27,786"
089099,CO,Prowers County,"$47,349"
089101,CO,Pueblo County,"$98,665"
089103,CO,Rio Blanco County,"$13,746"
089105,CO,Rio Grande County,"$45,080"
089107,CO,Routt County,"$50,499"
089109,CO,Saguache County,"$25,960"
089111,CO,San Juan County,"$5,917"
089113,CO,San Miguel County,"$19,533"
089115,CO,Sedgwick County,"$14,494"
089117,CO,Summit County,"$66,535"
089119,CO,Teller County,"$39,167"
089121,CO,Washington County,"$19,819"
089123,CO,Weld County,"$313,792"
089125,CO,Yuma County,"$40,209"
090102,CT,Bridgeport,"$2,944,892"
090114,CT,Bristol,"$212,273"
090258,CT,Danbury,"$203,839"
090336,CT,East Hartford,"$183,435"
090390,CT,Fairfield,"$165,321"
090438,CT,Greenwich,"$262,375"
090480,CT,Hamden Town,"$151,682"
090492,CT,Hartford,"$3,201,786"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
090594,CT,Manchester,"$181,653"
090612,CT,Meriden,"$349,132"
090630,CT,Middletown,"$152,966"
090636,CT,Milford Town,"$163,363"
090696,CT,New Britain,"$1,480,426"
090726,CT,New Haven,"$3,277,011"
090738,CT,New London,"$277,324"
090810,CT,Norwalk,"$280,940"
090816,CT,Norwich,"$272,930"
091074,CT,Stamford,"$309,702"
091104,CT,Stratford,"$194,891"
091194,CT,Waterbury,"$1,930,243"
091230,CT,West Hartford,"$315,679"
091236,CT,West Haven,"$238,532"
099001,CT,Fairfield County,"$527,912"
099003,CT,Hartford County,"$893,014"
099005,CT,Litchfield County,"$562,019"
099007,CT,Middlesex County,"$298,010"
099009,CT,New Haven County,"$873,494"
099011,CT,New London County,"$486,159"
099013,CT,Tolland County,"$316,814"
099015,CT,Windham County,"$429,007"
100090,DE,Dover,"$87,935"
100336,DE,Wilmington,"$1,911,022"
109001,DE,Kent County,"$291,945"
109003,DE,New Castle County,"$2,092,365"
109005,DE,Sussex County,"$501,766"
110006,DC,District Of Columbia,"$13,342,498"
120234,FL,Boca Raton,"$142,642"
120264,FL,Boynton Beach,"$189,551"
120270,FL,Bradenton,"$138,629"
120402,FL,Cape Coral,"$341,583"
120492,FL,Clearwater,"$265,399"
120516,FL,Cocoa,"$55,684"
120534,FL,Coconut Creek,"$100,732"
120588,FL,Coral Springs,"$251,894"
120612,FL,Crestview,"$52,173"
120684,FL,Davie,"$217,821"
120690,FL,Daytona Beach,"$198,557"
120708,FL,Deerfield Beach,"$218,918"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
120732,FL,Delray Beach,"$168,342"
120738,FL,Deltona,"$193,222"
120954,FL,Ft Lauderdale,"$1,369,354"
120966,FL,Ft Myers,"$203,375"
120996,FL,Fort Pierce,"$191,292"
121008,FL,Fort Walton Beach,"$46,857"
121038,FL,Gainesville,"$431,352"
121236,FL,Hialeah,"$2,441,494"
121320,FL,Hollywood,"$398,308"
121344,FL,Homestead City,"$261,170"
121512,FL,Jupiter,"$96,392"
121572,FL,Kissimmee,"$229,849"
121662,FL,Lakeland,"$309,966"
121710,FL,Largo,"$176,920"
121728,FL,Lauderhill,"$241,056"
121874,FL,Marco Island City,"$27,052"
121878,FL,Margate,"$121,090"
121926,FL,Melbourne,"$176,460"
121968,FL,Miami,"$4,808,455"
121974,FL,Miami Beach,"$826,840"
121976,FL,Miami Gardens City,"$348,191"
122022,FL,Miramar,"$285,432"
122064,FL,Naples,"$31,956"
122142,FL,North Miami,"$243,902"
122214,FL,Ocala,"$144,237"
122292,FL,Orlando,"$1,995,715"
122358,FL,Palm Bay,"$246,815"
122370,FL,Palm Beach Gardens,"$75,321"
122374,FL,Palm Coast,"$161,132"
122406,FL,Panama City,"$119,025"
122448,FL,Pembroke Pines,"$293,695"
122466,FL,Pensacola,"$243,615"
122502,FL,Pinellas Park,"$126,875"
122514,FL,Plantation,"$171,880"
122538,FL,Pompano Beach,"$330,522"
122568,FL,Port Orange,"$121,678"
122586,FL,Port St Lucie,"$346,853"
122700,FL,St. Cloud City,"$107,162"
122724,FL,St Petersburg,"$1,613,226"
122754,FL,Sanford,"$160,755"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
122766,FL,Sarasota,"$138,858"
122808,FL,Sebastian City,"$40,289"
122958,FL,Sunrise,"$219,135"
123000,FL,Tallahassee,"$1,598,532"
123006,FL,Tamarac,"$132,244"
123012,FL,Tampa,"$2,776,331"
123048,FL,Titusville,"$99,832"
123213,FL,Wellington,"$92,367"
123249,FL,Weston City,"$116,352"
123252,FL,West Palm Beach,"$321,710"
129001,FL,Alachua County,"$356,376"
129003,FL,Baker County,"$79,084"
129005,FL,Bay County,"$354,174"
129007,FL,Bradford County,"$111,102"
129009,FL,Brevard County,"$456,901"
129011,FL,Broward County,"$2,438,048"
129013,FL,Calhoun County,"$41,827"
129015,FL,Charlotte County,"$386,143"
129017,FL,Citrus County,"$388,472"
129019,FL,Clay County,"$434,910"
129021,FL,Collier County,"$2,201,367"
129023,FL,Columbia County,"$201,646"
129027,FL,DeSoto County,"$165,728"
129029,FL,Dixie County,"$63,699"
129031,FL,Jacksonville-Duval County,"$5,664,638"
129033,FL,Escambia County,"$1,279,043"
129035,FL,Flagler County,"$55,362"
129037,FL,Franklin County,"$64,941"
129039,FL,Gadsden County,"$233,440"
129041,FL,Gilchrist County,"$51,925"
129043,FL,Glades County,"$38,852"
129045,FL,Gulf County,"$56,106"
129047,FL,Hamilton County,"$80,139"
129049,FL,Hardee County,"$154,251"
129051,FL,Hendry County,"$187,887"
129053,FL,Hernando County,"$437,779"
129055,FL,Highlands County,"$335,485"
129057,FL,Hillsborough County,"$6,280,924"
129059,FL,Holmes County,"$91,004"
129061,FL,Indian River County,"$284,267"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
129063,FL,Jackson County,"$233,777"
129065,FL,Jefferson County,"$82,004"
129067,FL,Lafayette County,"$32,174"
129069,FL,Lake County,"$424,110"
129071,FL,Lee County,"$2,784,320"
129073,FL,Leon County,"$190,753"
129075,FL,Levy County,"$131,777"
129077,FL,Liberty County,"$29,646"
129079,FL,Madison County,"$108,869"
129081,FL,Manatee County,"$1,640,355"
129083,FL,Marion County,"$1,707,525"
129085,FL,Martin County,"$347,337"
129086,FL,Miami-Dade County,"$11,386,194"
129087,FL,Monroe County,"$615,394"
129089,FL,Nassau County,"$244,152"
129091,FL,Okaloosa County,"$318,867"
129093,FL,Okeechobee County,"$146,820"
129095,FL,Orange County,"$6,076,930"
129097,FL,Osceola County,"$504,364"
129099,FL,Palm Beach County,"$5,766,682"
129101,FL,Pasco County,"$2,501,018"
129103,FL,Pinellas County,"$2,171,544"
129105,FL,Polk County,"$3,300,457"
129107,FL,Putnam County,"$369,283"
